18	東京 - chakuwiki	飛び地八柱霊園(千葉県松戸市)都営地下鉄本八幡駅(千葉県市川市)西郷隆盛は上野出身だと思われている。睾丸だけは病気で肥大化していたらしい。フィラリアという寄生虫によるもの。西郷は島流しにされていた奄美大島でフィラリアに感染した。ちなみにフィラリアに寄生されるとマラリアにかかりにくくなる。西郷の死体には首がなかったが肥大した睾丸によって本人と確認された。鹿児島では｢ヨーイドン｣を｢西郷ドン｣と言っていると、嘘の噂を東京人は信じているらしい。東京人ってそういうもんでしょ。家が狭いことを指摘すると激昂する。実際はアメリカでも大都市に行けば東京とそう間取りが違うわけではないのだが（マンハッタンなどは当然部屋は狭く、家賃が高い）なぜかそこらへんと比較されることは少ない。なんでだ？逆にどこまで行っても市街地なので、「どこまでがトウキョウなんだ？」とも見えるらしい。（東北や北陸・山陰など）経済的に恵まれない風土で育った人には、その魂胆が理解できないだろう…。行列も、流行も嫌いなのに…立場上、強要される。神輿バカは、必ず地元を入れる。東北根性丸出しだからね…と云うより、マイカー保有率が高く、ルールやマナーを知らないだけかもね。ベッドタウンに繋がる電車に乗ると、降りようとしてもドアの目の前に並んでる馬鹿がいたりする。東西線とかね。大勢の浮かれた地方出身者が利用する路線だからな東京はなぜか川や水などに関する地名が多い。ちなみに 小金 井 にも貫井があります。京浜東北線より西は武蔵野台地を削った谷地形がそこらじゅうにあり、本当に谷や川や湧水が多かったため。また、台地上には池や沼も珍しくなかった。「東京市」なら在った。「東京府」もね。「西東京市」ならある。東京（23区）中心部の人の本質は、都会人より「田舎者」そのものである。それどころか、最近の（土着の）東京都民は、勉強や仕事をしない子供に対しては、「勘当」が当たり前。地方には、未だに中央の栄光を求める「ホンケー」と呼ばれるグループが残っており、古い「江戸屋敷システム」を必要としているからである。それは伝統を語る必要があり、結果として田舎者である。東京タワーにはいったことがない人が多い。いつ行っても地方民でごったがえしてますので・・・「東京都」は「ひがしきょうと（東・京都）」とも読める。明治政府が、天皇を関東に連れてくるのに『今後は'東の京'へ移って頂きます』と言って騙したのが元らしい。でも地平線は見えない。東京都内は、（江戸時代から）犯罪関係に対する取締りが厳しかったり、住民の間でも「防犯意識」や「法令遵守」の自覚が強いためか、結果的には「スリ」＆「空き巣」＆「（電車＆バス内での）チカン」が犯罪行為の主流になってしまった。近年では「普段、何気ない行為」を装った「ハラスメント行為」も、増加中とのことなのでご用心…。（例えば、いつも終業時間になって決まった時間に帰る人を、玄関先など特定の場所で待ち伏せている「社内ストーカー」など…。）悪者側でも、近年は（警察の取締りの厳しさと、現地住人の眼を怖れてか）「（結果的には）普通の人から見れば、犯罪行為に見えない行為に擬態する」しかないらしい。ゲーセンやコンピューターゲームが登場した1970年代後半より、東京（などの関東地方）では「ゲーセンに行く子供は、いずれは犯罪者になる。（一般的な例としては、窃盗やカツアゲなど…）」という「縁起かつぎ」的な思想が伝統になっている。近年はゲーセンやコンピューターゲームに対する印象は変わってるが、（土着の都民の中には）今でも「ファミコン？お前は将来、不良になったらどうする！」と考える人が今も残存しているらしい。東京都内でペットを飼うこと自体は、「家計に負担がかかる」ばかりでなく、衛生上の理由により、すべて許されない行為そのもの。だから都内の親は、子供に対して（ペットを）「捨ててきなさい！」と教育するのが、「慣わし」でなくてはならない。東京の配下は（大阪は関西一円に対し）北は南東北から東は中部地方だ2006年の「犯罪発生率」において、東京がついに千葉県＆埼玉県に抜かれてしまった。（ちなみに、この年の東京都の犯罪発生率は、全国規模で６位）確かに。昔の東京都内は「お上に弱い」のが、現在では（最近の「政治不信」と、「刑法の厳罰化」に対する反発か、 大阪 同様に）「お上に対する反抗」が本格化しているし。富士山が見えるとはしゃぐ。どうせプリンみたいな形なんだろ(by静岡県民)考えられません(byさいたま市民)実際に東京に行ってみると、東京の人間が口で言っているほど大都市ではないと感じる（すごい大都市だとは思うが）。下町は道路とかよく整備されてる気がする。錦糸町とか碁盤目状だし・・・。東京の大学群の分け方で、MARCH（明治大学、青山学院大学、立教大学、中央大学、法政大学） 、日東駒専（日本大学、東洋大学、駒澤大学、専修大学）に続くものとして大東亜帝国（大東文化大学、東海大学、亜細亜大学、帝京大学、国士舘大学）っていうのがある。知らない人が聞いたらすげぇ勘違いしそう。「大東亜帝国狙ってる」とか「大東亜帝国よくない？」とか。バルブというよりは地図記号の灯台にそっくりで、出ている線が6本（「東」を図案化）東京都が首都とされているが、実際には東京都が首都という法的根拠はない。あくまでも首都機能があるだけ。だいたい、わざわざ法律で明文化された首都が世界にどれぐらいあるというのか。ワシントンD.C.は確かにそうだろうが。東京人は新幹線で旅行から帰ってきたとき、林立する高層ビルやネオン街を車窓から見て「あぁ、東京に帰ってきたなぁ」と安堵する。鮫洲～青物横丁はカーブがあり、爆走京急でもゆっくり走るから景色が見やすい。超巨大と思われるが、山の手線の新宿駅～東京駅間の直線距離は6km程度しかない。一方「環状」と名が付くものがどんどん外側に増えていく。環状に類するものを含めて中央から順に、都心環状線、大江戸線、山手線、中央環状線、東京外廓環状道路・環状○号、南武・武蔵野～京葉～りんかい線、東京メガループ（横浜線～八高線～川越線）～東武野田線、首都圏中央連絡道～アクアライン…都内に在住している「地方からの住人」は、異性と友達になると「（その異性と）ヤレるかも･･･」と妄想を膨らませるが、昔ながらの住人ほど「ガードが厳しい」傾向が強い。昔はね。最近の若い子はそうでもない。それどころか、「（学校や会社での）知り合い同士なら、男（女）同士でのチカン行為はもちろんのこと、『視線』と言う暴力を振るっても（法的な）取締りの対象にならない」と考えるツワモノも…。（特に地方の出身者）フランスのミシュランとアメリカの雑誌でグルメな都市世界一になったけど国内じゃそれを絶対に認めてくれない。というよりは流行りは東京から生まれるってだけの話だろｗそれ、長嶋茂雄さんが英語のテストで書いてたそうじゃないかｗ日本列島は何処でも地震が発生する危険性がある。地震が起こらないと思われてる地域の方が実は逆に危険極まりない。そういう地域は施工業者が手抜きをしている可能性が高い。もちろん東京にも存在しているが。「最近、姉歯建築士が内部から告発した、監査の背任による欠陥マンション」は酷過ぎる。不動産業勤務の知り合いに聞いたところ、姉歯・ヒューザー物件は「同じ間取りで駅前徒歩5分」だと、 土浦市 ( 茨城県 )の相場と同じくらいの売り出し価格だったようです。まさに「安物買いの銭失い」。正直被害者も被害者。決して建築業界全体が汚染されている訳ではない。中には真面目にやっている人間もいるにも拘らず、マスコミが視聴者に偏見を持たせているだけ。ちなみに都内だけでも数千の建築会社がある。しかも、それぞれ格付けされている。阪神・淡路大震災では耐震構造の家まで潰れた。だから、東京の建物なんて・・・（以下自粛）マジですか？最近は、ブラジル出身の某預言者による「地震発生（関係）の予言」が登場したのか、「予言が嘘であってくれ」と願う建設業者が、少なからず登場しているらしい。それってジュセリーノのことでしょｗｗｗ名古屋に移るんでしょ。（byつボイノリオ）神戸より先に候補となるのは大阪と京都じゃないの?それとも京浜・京葉の港湾機能代替を狙った発言?立川を忘れるなよ・・・・。昭和記念公園の横・・・。そうすると、多摩地方には四つしか市が存在しないことになる。市・八王子市・町田市・府中市・調布市準市・立川市・武蔵野市・三鷹市・青梅市・昭島市・小金井市・小平市・日野市・東村山市・国分寺市・東久留米市・多摩市・西東京市（あと1065人で市制）・台東区準々市（町村レベル）・国立市・福生市・狛江市・東大和市・武蔵村山市・清瀬市・稲城市・羽村市・あきる野市おーい、全員揃ったかぁ～？ばっくれてる奴ぁいねぇかぁ～？このページは35,151回アクセスされました。
19	東京ミッドタウン	東京ミッドタウン公式ウェブサイト。東京ミッドタウンは、ホテル(ザ・リッツ・カールトン東京)、文化施設(サントリー美術館等)、130に及ぶ商業店舗、オフィス、住居、病院、公園などが集約された複合施設です。 ページ内容へ ...
20	東京(東京都東京地方)の天気：天気予報コム	今日は、寒冷前線が日本の東海上に抜けて、西から高気圧に覆われる見込みです。 このため、関東甲信地方は、日中おおむね晴れますが、朝晩は雲の広がる所がある見込みです。午前中は、長野県や関東地方北部の山沿いで雨の降る所があるでしょう。明日は、日本の南の高気圧に次第に覆われる見込みです。 このため、関東甲信地方は、朝のうち曇りますが、次第に晴れとなる所が多いでしょう。関東近海は、今日から明日にかけて波がやや高いでしょう。週間予報天気日付天気最高気温(平年比)
21	東京（東京）の天気 - Yahoo!天気・災害	今日・明日の天気と風と波、明日までの6時間ごとの降水確率と最高・最低気温を見られます。 ... 日付 8月28日 (水) 8月29日 (木) 8月30日 (金) 8月31日 (土) 9月1日 (日) 9月2日 (月) 天気 晴時々曇 晴時々曇 晴後曇 曇時々雨 曇り 曇り
22	東京の観光公式サイト GO TOKYO	'YES!TOKYO' website was renovated and relaunched as GO TOKYO/ businesseventstokyo.org on May 21, 2012.東京の観光公式サイト GO TOKYO
23	ドラマ : テレビ東京	Copyright(c)TV TOKYO Corporation All rights reserved.
24	東京ビッグサイト（東京国際展示場）	〒135-0063 東京都江東区有明3-11-1
25	東京管区気象台	7月末の大雨期間中のアメダス観測データについて（気象庁報道発表資料） 平成25年7月29日から30日にかけての大雨に関する気象速報 (2013.7.31) 平成25年7月23日の大雨に関する東京都気象速報 (2013.7.23) 東京都内の2013年5月の ...
26	東京のグルメ・レストラン情報【ぐるなび】	レストランを手軽に検索できます。お得なクーポン情報や最新情報も満載。ＪＲ新宿駅Copyright© Gurunavi, Inc. All rights reserved.
27	CONRAD TOKYO | コンラッド東京｜汐留・銀座のホテル予約	客室の眺望により'シティ' と 'ベイビュー' からお選びいただけます。『ミシュランガイド東京』にて一ツ星を獲得した「チャイナブルー」など個性溢れる4つのレストランと1つのバー＆ラウンジでは活気とドラマに満ちたダイニングシーンをご体験いただけます。その他、インターネットキオスク、ギフトショップ、24時間ルームサービス、ランドリーサービス、アロマオイルセット、ピローセレクションなどさまざまな施設、サービスをご用意しております。違いのわかる品質重視のお客様から、安心のホテルとのご信頼をいただいています。一晩から数ヶ月まで。どれだけ泊まっても自宅のくつろぎ。ヒルトンファミリーホテルの新しいブランド、長期滞在向けの全室スイート型ホテル
28	東京海上日動火災保険	東京海上日動の公式サイトです。東京海上日動は、お客様の信頼をあらゆる企業活動の原点におき、安心と安全の提供を通じて、豊かで快適な社会生活と経済の発展に貢献します。
29	東京ヤクルトスワローズ公式サイト	インフォメーション、試合情報、選手情報、観戦ガイド、スポンサー、球団情報、その他ヤクルトスワローズに関する情報が満載です。
30	東京の宿・ホテル予約 - じゃらんnet	【東京のホテル予約】東京の宿・ホテルをご紹介しています。ホテル予約をネットで行えますので、東京のホテル予約をするなら、じゃらんnetをご利用ください。 ... 東京の宿・ホテル予約 0名 0名 23区（含む吉祥寺） 八王子・立川・町田 ...
31	F.C.TOKYO	国立競技場8/28(水)リーグ第23節鳥栖戦チケット発売中
32	東京ガイド 【またたび】東京観光案内	また、 秋葉原 は世界でも有数の電気街という顔を持ちながら、サブカルチャーやマニアの街という側面も持つ事で知られている。 尚、世界自然遺産に登録された 小笠原諸島 も東京都である。
33	羽田空港ターミナル BIG BIRD	羽田空港。館内施設、交通アクセス案内のほか、フライト情報を掲載。
34	東京都の賃貸・不動産・マンション情報は「アットホーム 東京」	Copyright(c)アットホーム Co.,Ltd. このサイトに掲載している情報の無断転載を禁止します。 著作権はアットホーム（株）またはその情報提供者に帰属します。
35	JRA｜東京競馬場	2013年 東京競馬場での競馬開催日平日10：00〜12：00、13：00〜16：00（除：月・火曜日・祝日・年末年始・その他 臨時の休務日有り）入場料200円開門時間
36	東京ガス	東京ガスの家庭用機器、サービス、業務用機器、サービス、会社情報、活動情報についてご紹介しています。 ... 2013/08/22 パナソニック（株）製「暖房風呂給湯器（TES熱源機）」（東京ガスブランド） の長期使用に関する注意のお願い
37	TOKYO FM 80.0MHz - 80.Love FM RADIO STATION	新島 76.7MHz 八丈島 84.3MHz重ねドルチェも無料で配っちゃう！1都6県で配信中放送中の番組をチェックCopyright ©
38	東京オペラシティ アートギャラリー	西新宿・初台にある美術館「東京オペラシティ アートギャラリー」の展覧会情報。ギャラリーショップ情報など。 ... トピックス 2013.02.26 アートギャラリー 2013年度展覧会ラインナップ 2013.08.21 「アートがあれば II」関連イベント続々開催
39	東京都水道局｜Bureau of Waterworks Tokyo Metropolitan ...	リンク[ 水道局が所管する東京都監理団体 ]●技術系業務を補完支援●窓口業務を補完支援[ 都関連情報 ]● 携帯電話版
40	【楽天市場】国内土産 > 関東 > 東京：世界のお土産通販 ...	 1件 〜 60件 (全 109件)  >1,176円  税込、送料別630円  税込、送料別840円  税込、送料別735円  税込、送料別、 在庫なし330円  税込、送料別840円  税込、送料別10,000円  税込、送料込630円  税込、送料別6,150円  税込、送料込※・「＜クレジットカード・後払い決済で購入可能＞ 」の記載のある商品は、7日前後が最短のお届けとなります。【時間帯指定】【午前】、【午後（12:00〜14:00）】、【午後（14:00〜16:00）】、【午後（16:00〜18:00）】、【夜間（18:00〜20:00）】、【夜間（20:00〜21:00）】からお選びいただけます※最短お届け日のお客様については、午前中のお届けができません。当店で配送時間を変更する場合がございますのでご了承ください。・楽天ポイント分については当店での領収書発行はいたしかねます。一部ポイント利用時もポイント分を差し引いた金額での発行となります。後払いでのお支払い■日本語による輸入シールについて■運営・お問い合わせ先 RHトラベラー株式会社携帯電話・PHSからは 06-6578-2734（受付時間 9:30〜18:00（1月1日・2日はお休みをいただいております））◎お電話の際は「楽天【ギフトランド】を見て」とお伝え下さい。
41	コカ・コーラ | 清涼飲料 | スポーツ・文化活動 | 地域社会へ貢献 ...	私たち東京コカ・コーラグループは、人と人との絆を大切に、あらゆるシーンでさわやかさを演出し、うるおいのあるくらしづくりに貢献します ... 2013年07月01日 【What's New】 【会社行事その他イベント】コカ・コーラ関東4ボトラー社の 経営 ...
42	東京23区 : 地域 : YOMIURI ONLINE（読売新聞）	読売新聞社のニュースサイト ... 情報公開請求で請求者が負担するコピー代について、渋谷区は、1枚当たり10円から20円に値上げする改正条例案を9月の定例区議会に提出することを決めた。
43	www.geidai.ac.jp	会場：大学美術館会場：大学美術館佐藤一郎教授退任展（仮称）会場：奏楽堂会場：奏楽堂
44	RealTokyoEstate-東京R不動産-	43.51平米／9万4000円お恥ずかしながら、初めて「荒木町エリア」に侵入しました。 もちろん、噂には聞いておりました。 「夜の荒木町」と「ぶらり荒木町」  荒木町エリアの中でも、昔ながらの石畳、風情のある階段道の途中に建つ....2012.11.20Rトピックス
45	東京都の天気 - Yahoo!天気・災害	今日は、寒冷前線が日本の東海上に抜けて、西から高気圧に覆われる見込みです。このため、関東甲信地方は、日中おおむね晴れますが、朝晩は雲の広がる所がある見込みです。午前中は、長野県や関東地方北部の山沿いで雨の降る所があるでしょう。明日は、日本の南の高気圧に次第に覆われる見込みです。このため、関東甲信地方は、朝のうち曇りますが、次第に晴れとなる所が多いでしょう。関東近海は、今日から明日にかけて波がやや高いでしょう。
46	東京土産特集	帰省のお土産に、観光のお土産に、東京ならではの一品を見つけてね。お土産購入スポットとして定番中の定番、東京駅と羽田空港。限定品・旬の商品から、東京でしか手に入らない老舗の和菓子まで、注目の手土産を厳選して紹介します。東京の名所は、わざわざ足を運ばないと買えない限定品から、話題のパティシエの新店舗まで、話題に事欠かないお土産が手に入るスポット。観光名所のお土産を探すならここをチェック！平均：8,000円地下鉄銀座線三越前駅 徒歩2分[カフェ＆バー]平均：4,500円地下鉄銀座駅C2出口 徒歩5分[幻の地頭鶏専門・居酒屋]平均：3,000円地下鉄新宿三丁目駅C3番出口 徒歩1分
47	ウィークリーマンションを東京で探すならアパルトマン	ウィークリーマンション  マンスリーマンションならアパルトマン2013年8月27日更新！！2013/08/272013/08/232013/07/302013/07/162013/07/122013/07/092013/06/282013/06/202013/06/182013/05/212013/03/192012/08/02ＧＷのお知らせ2012/02/202011/02/172011/02/022011/01/272011/01/192011/01/172011/01/122011/01/06格安物件特集に「 銀座1 」「 銀座東1 」が追加されました。また、「西新宿4」「田町1」「田町4」「九段下1」「白金高輪1」「月島」のキャンペーンがご好評により終了しました。2010/12/242010/11/162010/11/152010/11/82010/10/212010/10/202010/09/302010/09/292010/09/222010/09/152010/09/132010/08/062010/07/302010/07/162010/07/132010/07/122010/07/052010/07/022010/07/012010/06/252010/06/182010/06/102010/06/082010/06/052010/05/282010/05/15格安物件特集に「 九段下1 」を追加。また、「西新宿6」「新宿御苑前1」「四ツ谷三丁目2」「三軒茶屋1」「秋葉原2」「秋葉原5」「神田2」のキャンペーンが終了。2010/05/142010/05/112010/05/022010/04/232010/04/222010/04/192010/04/16格安物件特集に「 五反田2 」「 田町5 」「 築地1 」を追加。また、「南麻布1」「池袋2」「田町1」「虎ノ門2」のキャンペーンが終了しました。2010/04/15格安物件特集に「 四ツ橋三丁目1 」「 田町1 」を追加しました。また、「神楽坂2」「新宿2」「西新宿4」「四ツ谷三丁目2」のキャンペーンが終了しました。2010/04/082010/04/06格安物件特集に「 代々木1 」「 神楽坂2 」「 田町4 」「 池袋2 」を追加しました。また、「芝公園1」「築地1」「田町3」「本郷東大前3」「本郷東大前5」のキャンペーンが終了。2010/04/042010/03/312010/03/26格安物件特集に「 西新宿4 」「 南麻布1 」「 田町2 」を追加しました。また、「麻布十番」「本郷東大前1」「池袋1」のキャンペーンが終了しました。2010/03/23格安物件特集に「 南麻布1 」を追加しました。また、「西新宿2」「水天宮前1」「門前仲町」「芝公園1」「本郷東大前5」「上野1」のキャンペーンが終了しました。2010/03/182010/03/15格安物件特集の価格を大幅値下げ！2010/03/132010/03/102010/03/092010/03/052010/03/022010/02/272010/02/212010/02/15格安物件特集に「 代々木1 」「 代々木2 」を追加しました。更に「品川3」の価格を大幅に値下げ！また、「神田1」のキャンペーンが終了しました。2010/02/082010/02/062010/02/042010/02/032010/01/25ウィークリーマンション東京格安物件特集に「 上野1 」を追加。また、「四ツ谷三丁目1」「西麻布」「御茶ノ水1」「大手町1」「大手町2」のキャンペーンが終了。2010/01/222010/01/212010/01/192010/01/162010/01/152010/01/122010/01/092010/01/062010/01/052009/12/25また、「蔵前1」のキャンペーンが終了しました。また、「本郷東大前1」でのキャンペーンが終了。2009/12/162009/12/142009/12/9ウィークリーマンション東京格安物件特集に「新宿御苑前5」「代々木1」「代々木2」「本郷東大前1」「水天宮前2」「市ヶ谷1」が追加されました。また、「三軒茶屋1」が終了しました。2009/12/52009/11/272009/11/24「西新宿6」「品川3」「五反田2」「田町5」でウィークリーマンション東京格安キャンペーン実施！また、「虎ノ門2」「東京日本橋2」「代々木1」「八王子1」のキャンペーンが終了。2009/11/182009/11/122009/11/062009/10/302009/10/272009/10/262009/10/222009/10/152009/10/210月早割りキャンペーンの金額を更更にお安く！2009/09/302009/09/282009/09/252009/09/242009/09/162009/09/152009/09/142009/09/102009/09/072009/09/032009/08/292009/08/202009/08/172009/08/102009/08/042009/08/012009/07/282009/07/222009/07/212009/07/112009/07/062009/06/262009/06/062009/06/01ウィークリーマンション東京キャンペーン物件が更新されました！2009/05/08
48	東京のホテル・旅館 [ホテル予約のyoyaQ.com]	2013年08月27日 21:172013年08月28日 02:372013年08月26日 21:54
49	東京都港湾局公式ホームページ	東京港の概要、港湾施設案内、利用申込受付、客船出入港予定、小学生向けコンテンツ。
